site;replicate;status;height;date_height;initial_height;t_30min;t_1h;t_3h;date_pred;ant_ocor_t30;ant_ocor_t1h;ant_ocor_t3h
N-O4;1;close;29.6;17/jul;18:04;18:36;19:08;21:09;18/jul;0;0;0
N-O4;2;open;25;18/jul;18:05;18:36;19:10;21:04;18/jul;0;0;0
N-O4;3;close;12.5;18/jul;18:07;18:42;19:15;21:06;18/jul;0;0;0
N-O4;4;close;28.2;17/jul;18:06;18:39;19:14;21:06;18/jul;0;0;0
N-O4;5;open;16.5;17/jul;18:06;18:39;19:15;21:07;18/jul;0;0;0
N-O4;6;open;30;17/jul;18:05;18:37;19:10;21:05;18/jul;0;0;0
N-O4;7;open;15;17/jul;18:05;18:37;19:11;21:05;18/jul;0;0;0
N-O4;8;open;23.7;17/jul;18:01;18:34;19:07;21:03;18/jul;0;0;0
N-O4;9;close;15.2;17/jul;18:00;18:30;19:01;21:00;18/jul;0;1;1
N-O4;10;close;31.5;17/jul;18:03;18:33;19:03;21:02;18/jul;0;0;0
N-O4;11;close;20;17/jul;18:02;18:35;19:07;21:03;18/jul;0;0;0
N-O4;12;close;35;17/jul;18:00;18:30;19:02;21:01;18/jul;0;0;0
N-O4;13;close;10;19/jul;18:09;18:44;19:17;21:07;18/jul;0;0;0
N-O4;14;close;6;19/jul;18:10;18:44;19:19;21:08;18/jul;0;0;0
N-O4;C1;NA;0;18/jul;18:02;18:31;19:02;21:03;18/jul;0;0;0
N-O4;C2;NA;0;18/jul;18:04;18:34;19:04;21:01;18/jul;1;1;1
N-O4;C3;NA;0;18/jul;18:06;18:38;19:11;21:05;18/jul;0;0;0
N-O4;C4;NA;0;18/jul;18:11;18:41;19:18;21:08;18/jul;1;0;1
J4;1;close;21.9;17/jul;18:01;18:30;19:00;21:00;18/jul;0;0;0
J4;2;close;41.5;17/jul;18:01;18:30;19:00;21:00;18/jul;0;0;0
J4;3;open;28.4;17/jul;18:01;18:30;19:01;21:08;18/jul;0;0;0
J4;4;close;37;17/jul;18:02;18:31;19:01;21:09;18/jul;0;0;0
J4;5;close;21.7;17/jul;18:03;18:31;19:01;21:10;18/jul;0;0;1
J4;6;open;21.3;17/jul;18:03;18:33;19:04;21:00;18/jul;0;0;0
J4;7;close;29;17/jul;18:03;18:33;19:04;21:14;18/jul;0;0;1
J4;8;open;21;17/jul;18:04;18:34;19:05;21:00;18/jul;0;0;0
J4;9;close;10.5;17/jul;18:04;18:35;19:06;21:16;18/jul;0;0;0
J4;10;open;36.5;17/jul;18:05;18:40;19:09;21:21;18/jul;0;0;0
J4;11;open;18.7;17/jul;18:05;18:41;19:10;21:22;18/jul;0;0;0
J4;C5;NA;0;18/jul;18:08;18:33;19:03;21:02;18/jul;1;1;1
J4;C6;NA;0;18/jul;18:07;18:37;19:06;21:17;18/jul;1;1;1
J4;C7;NA;0;18/jul;18:07;18:39;19:07;21:20;18/jul;0;1;1
J4;C8;NA;0;18/jul;18:06;18:40;19:10;21:22;18/jul;1;0;0
CHU;1;close;33.5;18/jul;18:03;18:33;19:03;21:03;18/jul;0;0;0
CHU;2;close;14.5;18/jul;18:02;18:32;19:02;21:02;18/jul;0;0;0
CHU;3;open;17.5;18/jul;18:02;18:32;19:02;21:02;18/jul;0;0;0
CHU;4;close;35;18/jul;18:00;18:30;19:00;21:00;18/jul;0;0;0
CHU;5;close;16.5;18/jul;18:00;18:30;19:00;21:00;18/jul;0;0;0
CHU;C9;NA;0;18/jul;18:04;18:34;19:04;21:04;18/jul;1;1;1
CHU;C10;NA;0;18/jul;18:05;18:35;19:07;21:07;18/jul;1;1;1
