tratamento;replica;data_intervencao;hora_intervencao;altura;agua_dentro_ml;agua_fora_ml;data_observacao;hora_observacao;cigarra_visivel;altura_rec;fechado;obs;;;;;;;;;;;;;;;;
preservativo;p1;18/07;16:35;21.2;NA;NA;19/07;09:20;1;3;1;;;;;;;;;;;;;;;;;
preservativo;p2;18/07;14:47;8.5;NA;NA;19/07;NA;NA;NA;NA;foi comida;;;;;;;;;;;;;;;;
preservativo;p3;18/07;15:19;34.2;NA;NA;19/07;08:45;0;7;1;;;;;;;;;;;;;;;;;
preservativo;p4;18/07;15:12;15.8;NA;NA;19/07;08:59;1;2.5;1;;;;;;;;;;;;;;;;;
controle;p5;18/07;15:15;22.3;NA;NA;19/07;09:01;1;4;1;;;;;;;;;;;;;;;;;
controle;p6;18/07;15:16;12;NA;NA;19/07;09:04;0;2;1;;;;;;;;;;;;;;;;;
preservativo;p7;18/07;17:00;30;NA;NA;19/07;09:09;0;NA;0;;;;;;;;;;;;;;;;;
água;p8;18/07;15:25;4.5;260;250;19/07;08:42;0;5;1;;;;;;;;;;;;;;;;;
água;p9;18/07;16:44;45;2000;250;19/07;09:15;0;2;1;abriu quando foi colocada água fora;;;;;;;;;;;;;;;;
água;p10;18/07;16:34;18;2000;250;19/07;09:17;0;NA;0;não transbordou;;;;;;;;;;;;;;;;
controle;p11;18/07;15:33;9.3;NA;NA;19/07;08:50;1;3;1;;;;;;;;;;;;;;;;;
água;p12;18/07;15:35;38.3;1000;250;19/07;08:54;0;NA;0;abriu quando foi colocada água fora;;;;;;;;;;;;;;;;
controle;p14;18/07;16:54;16.8;NA;NA;19/07;09:07;0;4.5;1;;;;;;;;;;;;;;;;;
controle;p15;18/07;17:02;33.1;NA;NA;19/07;09:11;1;5.5;1;;;;;;;;;;;;;;;;;
água;p16;18/07;16:07;7.5;50;250;19/07;09:40;1;NA;0;;;;;;;;;;;;;;;;;
preservativo;p17;18/07;15:58;23.5;NA;NA;19/07;09:24;1;6;1;;;;;;;;;;;;;;;;;
controle;p18;18/07;16:05;47;NA;NA;19/07;09:33;1;2;1;;;;;;;;;;;;;;;;;
água;p19;18/07;15:51;29.8;1150;250;19/07;09:26;1;1.5;1;;;;;;;;;;;;;;;;;
preservativo;p20;18/07;16:12;25.6;NA;NA;19/07;09:42;0;6.3;1;;;;;;;;;;;;;;;;;
preservativo;p21;18/07;16:20;24;NA;NA;19/07;09:45;1;4.5;1;;;;;;;;;;;;;;;;;
água;p22;18/07;16:25;18.7;400;250;19/07;09:53;1;4;1;;;;;;;;;;;;;;;;;
água;p23;18/07;16:15;36.3;200;250;19/07;09:49;1;1;1;;;;;;;;;;;;;;;;;
controle;p25;18/07;16:02;12.5;NA;NA;19/07;09:28;1;3.5;1;;;;;;;;;;;;;;;;;
controle;p26;18/07;16:29;21.2;NA;NA;19/07;09:54;0;0;1;cupins no canal;;;;;;;;;;;;;;;;
preservativo;p27;18/07;16:04;12.5;NA;NA;19/07;09:30;1;0;1;;;;;;;;;;;;;;;;;
controle;p28;18/07;16:32;23.8;NA;NA;19/07;09:21;1;5;1;;;;;;;;;;;;;;;;;
água;p30;18/07;16:57;21;2000;250;19/07;09:06;0;5.7;1;;;;;;;;;;;;;;;;;
controle;nc1;NA;NA;17;NA;NA;19/07;10:09;1;4.5;1;;;;;;;;;;;;;;;;;
controle;nc2;NA;NA;16.7;NA;NA;19/07;10:15;1;1.7;1;;;;;;;;;;;;;;;;;
controle;nc3;NA;NA;30.8;NA;NA;19/07;10:11;1;3.9;1;;;;;;;;;;;;;;;;;
controle;nc4;NA;NA;33.4;NA;NA;19/07;10:18;0;NA;NA;;;;;;;;;;;;;;;;;
